route_long_name,route_short_name,agency_id,route_type,route_id
,EC,1,2,62
,EC,10,2,6
,EC,11,2,2
,EC,3,2,19
,EC,7,2,64
,EC,8,2,34
,EC 27,10,2,67
,EC 27,5,2,97
,EC 32,5,2,14
,EC 43,1,2,11
,EC 43,5,2,98
,EC 62,3,2,78
,EC 62,5,2,41
,EC 75,5,2,94
,EC 85,5,2,23
,EC 89,5,2,35
,EC 95,2,2,36
,EC 95,5,2,3
,EC 96,2,2,84
,EC 96,5,2,57
,ECE 85,5,2,102
,ECE 88,5,2,103
,EN,10,2,104
,EN,11,2,58
,EN,12,2,12
,EN,3,2,4
,IC,1,2,47
,IC,13,2,86
,IC,2,2,37
,IC,3,2,85
,IC,4,2,105
,IC,6,2,27
,IC 10,5,2,88
,IC 17,5,2,28
,IC 18,5,2,13
,IC 24,5,2,48
,IC 26,5,2,76
,IC 27,5,2,15
,IC 29,5,2,91
,IC 32,5,2,65
,IC 34,5,2,59
,IC 35,5,2,70
,IC 39,5,2,38
,IC 51,5,2,79
,IC 55,5,2,89
,IC 56,5,2,60
,IC 57,5,2,24
,IC 6,1,2,42
,IC 61,5,2,1
,IC 62,5,2,49
,IC 76,8,2,61
,IC 77,5,2,39
,IC 87,5,2,20
,IC 90,5,2,80
,ICE,1,2,50
,ICE,3,2,106
,ICE,4,2,7
,ICE 10,5,2,72
,ICE 11,5,2,51
,ICE 12,5,2,92
,ICE 13,5,2,90
,ICE 14,5,2,66
,ICE 15,5,2,32
,ICE 16,5,2,43
,ICE 17,5,2,29
,ICE 18,5,2,56
,ICE 19,5,2,33
,ICE 2,5,2,30
,ICE 20,5,2,21
,ICE 21,5,2,52
,ICE 22,5,2,93
,ICE 24,5,2,54
,ICE 25,5,2,45
,ICE 26,5,2,46
,ICE 27,5,2,81
,ICE 28,5,2,9
,ICE 29,5,2,16
,ICE 32,3,2,83
,ICE 32,5,2,53
,ICE 39,5,2,95
,ICE 4,5,2,107
,ICE 41,5,2,100
,ICE 42,5,2,68
,ICE 43,5,2,22
,ICE 45,5,2,73
,ICE 47,5,2,40
,ICE 49,5,2,71
,ICE 50,5,2,74
,ICE 55,5,2,77
,ICE 60,5,2,8
,ICE 61,1,2,25
,ICE 62,3,2,101
,ICE 62,5,2,63
,ICE 77,5,2,5
,ICE 78,5,2,99
,ICE 79,5,2,10
,ICE 8,5,2,55
,ICE 82,5,2,82
,ICE 82,9,2,17
,ICE 83,5,2,69
,ICE 83,9,2,26
,ICE 89,5,2,87
,ICE 9,5,2,18
,ICE 91,5,2,31
,RJ,10,2,96
,RJ,11,2,75
,RJ,3,2,44
